152.33	21.356	-17.391
153.04	21.481	-17.266
153.74	21.606	-17.141
154.45	21.803	-16.944
155.16	21.928	-16.819
155.87	22.053	-16.694
156.58	22.178	-16.569
157.29	22.303	-16.444
158.00	22.356	-16.247
158.70	22.481	-16.122
159.41	22.606	-15.997
160.12	22.658	-15.872
160.83	22.783	-15.747
161.54	22.835	-15.622
162.25	22.960	-15.497
162.95	23.013	-15.372
163.66	23.065	-15.247
164.37	23.190	-15.123
165.08	23.243	-15.070
165.79	23.368	-14.945
166.50	23.493	-14.820
167.21	23.545	-14.768
167.91	23.670	-14.643
168.62	23.795	-14.518
169.33	23.920	-14.465
170.04	24.117	-14.340
170.75	24.242	-14.215
171.46	24.440	-14.091
172.17	24.637	-13.966
172.87	24.907	-13.841
173.58	25.104	-13.716
174.29	25.374	-13.518
175.00	25.571	-13.321
175.71	25.841	-13.124
176.42	26.038	-12.926
177.12	26.236	-12.657
177.83	26.433	-12.459
178.54	26.630	-12.189
179.25	26.755	-11.920
179.96	26.808	-11.650
180.67	26.933	-11.380
181.38	26.985	-11.183
182.08	27.038	-10.913
182.79	27.018	-10.716
183.50	26.998	-10.591
184.21	26.978	-10.393
184.92	26.958	-10.268
185.63	26.866	-10.143
186.34	26.846	-10.091
187.04	26.753	-10.038
187.75	26.661	-9.986
188.46	26.496	-9.933
189.17	26.404	-9.953
189.88	26.239	-9.901
190.59	26.147	-9.921
191.29	25.910	-9.941
192.00	25.745	-10.033
192.71	25.580	-10.053
193.42	25.341	-10.147
194.13	25.141	-10.203
194.84	24.868	-10.259
195.55	24.667	-10.387
196.25	24.394	-10.515
196.96	24.121	-10.643
197.67	23.847	-10.772
198.38	23.502	-10.900
199.09	23.229	-11.101
199.80	22.883	-11.301
200.51	22.610	-11.502
201.21	22.264	-11.703
201.92	21.991	-11.976
202.63	21.646	-12.249
203.34	21.300	-12.522
204.05	21.027	-12.795
204.76	20.682	-13.141
205.46	20.336	-13.487
206.17	20.063	-13.832
206.88	19.717	-14.178
207.59	19.444	-14.523
208.30	19.099	-14.941
209.01	18.825	-15.287
209.72	18.480	-15.705
210.42	18.134	-16.050
211.13	17.789	-16.396
211.84	17.516	-16.814
212.55	17.170	-17.159
213.26	16.752	-17.505
213.97	16.407	-17.851
214.68	16.061	-18.124
215.38	15.715	-18.469
216.09	15.297	-18.815
216.80	14.952	-19.088
217.51	14.534	-19.433
218.22	14.188	-19.707
218.93	13.843	-20.052
219.63	13.425	-20.398
220.34	13.152	-20.671
221.05	12.806	-21.016
221.76	12.533	-21.290
222.47	12.187	-21.635
223.18	11.987	-21.981
223.89	11.714	-22.254
224.59	11.513	-22.599
225.30	11.312	-22.945
226.01	11.111	-23.218
226.72	10.911	-23.491
227.43	10.782	-23.837
228.14	10.654	-24.110
228.85	10.526	-24.383
229.55	10.398	-24.656
230.26	10.269	-24.929
230.97	10.213	-25.130
231.68	10.085	-25.331
