-81.57	-133.207
-81.37	-127.192
-81.16	-120.984
-80.96	-114.591
-80.76	-108.025
-80.55	-101.295
-80.35	-94.413
-80.14	-87.391
-79.94	-80.241
-79.73	-72.975
-79.53	-65.606
-79.32	-58.149
-79.12	-50.618
-78.92	-43.026
-78.71	-35.388
-78.51	-27.719
-78.30	-20.033
-78.10	-12.344
-77.89	-4.670
-77.69	2.976
-77.48	10.580
-77.28	18.125
-77.08	25.599
-76.87	32.985
-76.67	40.271
-76.46	47.442
-76.26	54.485
-76.05	61.387
-75.85	68.135
-75.64	74.718
-75.44	81.122
-75.24	87.339
-75.03	93.356
-74.83	99.165
-74.62	104.756
-74.42	110.121
-74.21	115.251
-74.01	120.140
-73.80	124.781
-73.60	129.169
-73.40	133.300
-73.19	137.168
-72.99	140.770
-72.78	144.105
-72.58	147.169
-72.37	149.963
-72.17	152.486
-71.96	154.737
-71.76	156.719
-71.56	158.433
-71.35	159.881
-71.15	161.067
-70.94	161.994
-70.74	162.666
-70.53	163.089
-70.33	163.268
-70.12	163.208
-69.92	162.917
-69.72	162.399
-69.51	161.664
-69.31	160.717
-69.10	159.568
-68.90	158.223
-68.69	156.691
-68.49	154.981
-68.28	153.100
-68.08	151.059
-67.88	148.864
-67.67	146.526
-67.47	144.052
-67.26	141.452
-67.06	138.734
-66.85	135.907
-66.65	132.980
-66.44	129.959
-66.24	126.855
-66.04	123.674
-65.83	120.424
-65.63	117.113
-65.42	113.748
-65.22	110.337
-65.01	106.885
-64.81	103.400
-64.60	99.887
-64.40	96.353
-64.20	92.803
-63.99	89.243
-63.79	85.677
-63.58	82.112
-63.38	78.551
-63.17	74.999
-62.97	71.460
-62.76	67.938
-62.56	64.437
-62.36	60.961
-62.15	57.513
-61.95	54.096
-61.74	50.715
-61.54	47.371
-61.33	44.068
-61.13	40.809
-60.92	37.598
-60.72	34.437
-60.52	31.328
-60.31	28.276
-60.11	25.283
-59.90	22.353
-59.70	19.488
-59.49	16.691
-59.29	13.967
-59.08	11.318
-58.88	8.749
-58.68	6.262
-58.47	3.863
-58.27	1.553
-58.06	-0.662
-57.86	-2.777
-57.65	-4.790
-57.45	-6.696
-57.24	-8.490
-57.04	-10.167
-56.84	-11.723
-56.63	-13.154
-56.43	-14.455
-56.22	-15.621
-56.02	-16.648
-55.81	-17.531
-55.61	-18.266
-55.40	-18.848
-55.20	-19.274
-55.00	-19.538
-54.79	-19.638
-54.59	-19.570
-54.38	-19.331
-54.18	-18.918
-53.97	-18.327
-53.77	-17.558
-53.56	-16.608
-53.36	-15.475
-53.16	-14.159
-52.95	-12.660
-52.75	-10.977
-52.54	-9.112
-52.34	-7.066
-52.13	-4.840
-51.93	-2.437
-51.72	0.139
-51.52	2.885
-51.32	5.796
-51.11	8.867
-50.91	12.092
-50.70	15.464
-50.50	18.977
-50.29	22.621
-50.09	26.389
-49.88	30.271
-49.68	34.258
-49.48	38.337
-49.27	42.500
-49.07	46.732
-48.86	51.024
-48.66	55.360
-48.45	59.729
-48.25	64.117
-48.04	68.509
-47.84	72.892
-47.64	77.250
-47.43	81.569
-47.23	85.834
-47.02	90.029
-46.82	94.139
-46.61	98.150
-46.41	102.045
-46.20	105.811
-46.00	109.432
-45.80	112.893
-45.59	116.182
-45.39	119.283
-45.18	122.183
-44.98	124.870
-44.77	127.331
-44.57	129.556
-44.36	131.531
-44.16	133.249
-43.96	134.698
-43.75	135.871
-43.55	136.759
-43.34	137.356
-43.14	137.657
-42.93	137.656
-42.73	137.348
-42.52	136.733
-42.32	135.807
-42.12	134.569
-41.91	133.021
-41.71	131.164
-41.50	129.000
-41.30	126.532
-41.09	123.766
-40.89	120.707
-40.68	117.362
-40.48	113.738
-40.28	109.843
-40.07	105.689
-39.87	101.284
-39.66	96.640
-39.46	91.770
-39.25	86.686
-39.05	81.401
-38.84	75.930
-38.64	70.287
-38.44	64.488
-38.23	58.547
-38.03	52.482
-37.82	46.308
-37.62	40.042
-37.41	33.700
-37.21	27.300
-37.00	20.857
-36.80	14.389
-36.60	7.911
-36.39	1.441
-36.19	-5.006
-35.98	-11.415
-35.78	-17.769
-35.57	-24.055
-35.37	-30.257
-35.16	-36.363
-34.96	-42.360
-34.76	-48.234
-34.55	-53.975
-34.35	-59.572
-34.14	-65.014
-33.94	-70.293
-33.73	-75.400
-33.53	-80.329
-33.32	-85.071
-33.12	-89.623
-32.92	-93.978
-32.71	-98.134
-32.51	-102.088
-32.30	-105.837
-32.10	-109.381
-31.89	-112.720
-31.69	-115.853
-31.48	-118.783
-31.28	-121.511
-31.08	-124.042
-30.87	-126.377
-30.67	-128.523
-30.46	-130.483
-30.26	-132.262
-30.05	-133.868
-29.85	-135.306
-29.64	-136.583
-29.44	-137.707
-29.24	-138.683
-29.03	-139.521
-28.83	-140.227
-28.62	-140.809
-28.42	-141.275
-28.21	-141.632
-28.01	-141.888
-27.80	-142.050
-27.60	-142.126
-27.40	-142.122
-27.19	-142.044
-26.99	-141.898
-26.78	-141.690
-26.58	-141.426
-26.37	-141.109
-26.17	-140.743
-25.96	-140.333
-25.76	-139.881
-25.56	-139.389
-25.35	-138.858
-25.15	-138.290
-24.94	-137.686
-24.74	-137.043
-24.53	-136.362
-24.33	-135.641
-24.12	-134.878
-23.92	-134.069
-23.72	-133.212
-23.51	-132.302
-23.31	-131.335
-23.10	-130.306
-22.90	-129.210
-22.69	-128.040
-22.49	-126.791
-22.28	-125.457
-22.08	-124.032
-21.88	-122.507
-21.67	-120.878
-21.47	-119.136
-21.26	-117.276
-21.06	-115.291
