DLPC, Tardieu 73
Cw=23%, T= -7C
Powder sample

d=52.0A, lambda=85.3A, gamma=70deg

Squares of their form factors:

h/k	-4	-3	-2	-1	0	1	2	3	4

6	---	---	---	---	---	---	---	---	---

5	---	---	---	---	---	---	---	---	---

4	---	---	---	6.955	4.359	---	---	---	---

3	---	---	7.547	20.05	2.452	7.101	5.199	---	---

2	---	---	32.28	37.87	67.92	27.53	3.593	---	---

1	---	---	1.148	7.547	100.0	2.283	0.679	---	---

0	---	---	---	---	BEAM	2.281	0.773	---	---

