DMPC (Wack & Webb 1989)
cw=25%, T=18.2C
Powder sample

(It seems like the Lorentz correction has been made)

d=57.94A, lambda=141.7A, gamma=98.4deg

Data:

h/k	-4	-3	-2	-1	0	1	2	3	4

6	---	---	---	---	---	---	---	---	---

5	---	---	---	---	---	---	---	---	---

4	---	---	---	---	---	---	---	---	---

3	---	---	8.602	19.52	1.447	0	1.098	2.211	0.998

2	---	---	2.268	50.72	15.75	11.50	5.153	2.005	0.605

1	---	---	---	37.00	100.0	7.215	0	0.579	---

0	---	---	---	---	BEAM	0.284	0.937	0.610	---

