DMPC, Janiak79
Cw=21%, T=20C
Powder sample

d=55.2A, lambda=160.9A, gamma=99deg

Square of their form factor from their model:

h/k	-4	-3	-2	-1	0	1	2	3	4

6	---	---	---	---	---	---	---	---	---

5	---	---	---	---	16.40	---	---	---	---

4	---	0.284	---	---	19.36	---	---	0.262	---

3	---	1.651	14.11	---	0.005	---	14.11	2.367	0.223

2	0.862	0.731	0.438	---	1.786	4.562	0.438	1.127	---

1	---	---	0.248	10.98	100.0	12.54	---	---	---

0	---	---	---	---	BEAM	---	0.347	---	---

