    57.9400    141.700    98.4000
  440
  0  -10   -4.82298E-02
  0  -9    2.67028E-02
  0  -8    1.31799E-02
  0  -7    1.87415E-02
  0  -6  -0.136355
  0  -5   0.226945
  0  -4  -0.115357
  0  -3  -0.294472
  0  -2   0.910412
  0  -1   -1.47169
  0  1   -1.47169
  0  2   0.910412
  0  3  -0.294472
  0  4  -0.115357
  0  5   0.226945
  0  6  -0.136355
  0  7    1.87415E-02
  0  8    1.31799E-02
  0  9    2.67028E-02
  0  10   -4.82298E-02
  1  -10    9.56810E-03
  1  -9    1.85638E-02
  1  -8    6.63551E-03
  1  -7   -6.03172E-02
  1  -6   -2.48957E-02
  1  -5   0.475794
  1  -4   -1.24092
  1  -3    1.29441
  1  -2    3.33211
  1  -1   -39.7440
  1  0  -100.0000
  1  1    42.1663
  1  2   -26.0795
  1  3    14.2582
  1  4   -4.99132
  1  5  -0.941974
  1  6    3.23529
  1  7   -2.67289
  1  8   0.797892
  1  9   0.853083
  1  10   -1.42366
  2  -10   -1.00522
  2  -9   0.470724
  2  -8   0.878127
  2  -7   -2.30252
  2  -6    2.47457
  2  -5  -0.149036
  2  -4   -4.90971
  2  -3    11.1097
  2  -2   -13.5683
  2  -1   -75.2506
  2  0   -45.1942
  2  1    32.5106
  2  2   -22.1681
  2  3    12.5700
  2  4   -5.32102
  2  5    1.27852
  2  6    2.12593E-02
  2  7   0.119639
  2  8  -0.423425
  2  9   0.271031
  2  10   0.220295
  3  -10   -1.15810E-02
  3  -9  -0.150626
  3  -8   0.185756
  3  -7   0.285552
  3  -6   -1.26457
  3  -5    1.95397
  3  -4  -0.670665
  3  -3   -5.21049
  3  -2    24.9054
  3  -1    44.6113
  3  0    3.07009
  3  1   -13.4360
  3  2    16.3053
  3  3   -14.1039
  3  4    9.17769
  3  5   -4.16183
  3  6   0.954048
  3  7    2.11063E-03
  3  8   0.426652
  3  9  -0.918734
  3  10   0.650039
  4  -10   -5.25553E-03
  4  -9    1.04780E-01
  4  -8  -0.512498
  4  -7   0.649183
  4  -6   0.533503
  4  -5   -3.68047
  4  -4    7.53810
  4  -3   -5.90354
  4  -2   -71.6780
  4  -1   -58.2537
  4  0    25.6110
  4  1   0.458944
  4  2   -25.3899
  4  3    43.9657
  4  4   -51.4005
  4  5    46.6073
  4  6   -32.8594
  4  7    16.1764
  4  8   -2.49742
  4  9   -4.79240
  4  10    5.75337
  5  -10    2.70629
  5  -9  -0.756266
  5  -8   -2.91183
  5  -7    6.01382
  5  -6   -5.41862
  5  -5   -1.28673
  5  -4    14.9165
  5  -3   -39.6320
  5  -2   -74.7300
  5  -1   -11.9655
  5  0    14.9552
  5  1   -8.74026
  5  2   0.910978
  5  3    3.94152
  5  4   -4.10527
  5  5   0.817649
  5  6    3.03226
  5  7   -4.87348
  5  8    3.89152
  5  9   -1.16247
  5  10   -1.38637
  6  -10  -0.341846
  6  -9   0.743015
  6  -8  -0.450899
  6  -7   -1.12854
  6  -6    3.54552
  6  -5   -4.72978
  6  -4   0.225977
  6  -3    38.4520
  6  -2    33.3247
  6  -1   -7.58277
  6  0   -2.72638
  6  1    6.43716
  6  2   -4.98149
  6  3    1.08692
  6  4    1.81959
  6  5   -1.46542
  6  6   -1.99267
  6  7    6.22617
  6  8   -8.36785
  6  9    6.92101
  6  10   -2.68855
  7  -10    3.13716E-02
  7  -9  -0.777487
  7  -8    1.81529
  7  -7   -1.52431
  7  -6   -2.37521
  7  -5    11.5420
  7  -4   -26.9846
  7  -3   -83.3888
  7  -2   -27.5827
  7  -1    26.4429
  7  0   -13.8970
  7  1   -3.20916
  7  2    16.4984
  7  3   -18.8954
  7  4    8.16881
  7  5    11.7519
  7  6   -32.6424
  7  7    46.0579
  7  8   -47.3595
  7  9    37.5237
  7  10   -21.9601
  8  -10   -3.98726
  8  -9   0.318710
  8  -8    5.57072
  8  -7   -9.93860
  8  -6    7.92510
  8  -5    6.03071
  8  -4   -61.5929
  8  -3   -58.5418
  8  -2    5.68339
  8  -1    6.05851
  8  0   -6.86457
  8  1    3.25675
  8  2    7.79139E-02
  8  3  -0.817794
  8  4  -0.376703
  8  5   0.955154
  8  6    1.31813
  8  7   -6.55500
  8  8    12.5346
  8  9   -16.1503
  8  10    15.4357
  9  -10    1.10928
  9  -9   -1.65466
  9  -8   0.548770
  9  -7    2.95278
  9  -6   -8.00286
  9  -5    11.5922
  9  -4    44.8843
  9  -3    18.4908
  9  -2  -10.49433
  9  -1    2.90638
  9  0    2.18154
  9  1   -3.47192
  9  2    1.95944
  9  3  -0.127573
  9  4   -3.43557E-02
  9  5   -1.31958
  9  6    1.86249
  9  7    1.17835
  9  8   -8.70872
  9  9    18.5496
  9  10   -26.3067
  10  -10  -0.329291
  10  -9    2.33386
  10  -8   -4.24950
  10  -7    2.58045
  10  -6    8.65304
  10  -5   -52.5006
  10  -4   -78.8114
  10  -3   0.108072
