9	59.40	41.22	18.18
11	59.50	41.29	18.21
13	59.50	41.35	18.15
15	66.38	45.40	20.98
17	66.20	45.35	20.85
19	66.00	45.21	20.79
20	66.00	45.28	20.72
21	66.10	45.34	20.76
22	66.20	45.41	20.79
23	66.20	45.48	20.72
24	65.80	38.89	26.91
24.5	65.40	38.65	26.75
25	64.70	38.24	26.46
26	63.70	37.71	25.99
27	63.10	37.36	25.74
29	62.50	37.06	25.44
31	62.30	36.94	25.36
33	61.90	36.77	25.13
35	61.80	36.71	25.09

