  3  -2    8.60200   0.325135
  3  -1    19.5200    20.0697
  3  0    1.44700    1.98007E-04
  3  2    1.09800    5.23671E-02
  3  3    2.21100    7.68836E-02
  3  4   0.998000    9.86843E-02
  2  -2    2.26800    1.46379
  2  -1    50.7200    54.3422
  2  0    15.7500    14.8757
  2  1    11.5000    3.93021
  2  2    5.15300    2.24909
  2  3    2.00500    1.63912
  2  4   0.605000    1.33097
  1  -1    37.0000    23.1940
  1  0   100.0000   100.9158
  1  1    7.21500    8.86434
  1  3   0.579000    2.13277
  0  1   0.284000    1.28913E-02
  0  2   0.937000    1.24398E-02
  0  3   0.610000    1.17156E-02
